title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,priority_alerted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
"Available now: clean and comfortable 2 bedroom, 1 bathroom upper-level",Way Out There,997,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-available-now-clean-and/7933718460.html,37.7547347706226,-122.503376795058,San Francisco,2026-05-11T18:20:05.203776-07:00,False,,craigslist,43.0,4th & King,29.0,Glen Park
"Spacious, bright, top-floor Mission 2BR/1BA w deck","Mission,Chill Mission",3990,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-bright-top-floor/7933714344.html,37.7590921146544,-122.409311449047,San Francisco,2026-05-11T18:00:04.808062-07:00,False,,craigslist,8.0,22nd St,5.0,16th St Mission
TMLP 12-mo. | Elevate Your Space: Hardwood Floors & Quartz Counters,,4960,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-elevate-your/7933709565.html,37.7791152707197,-122.41424289679,San Francisco,2026-05-11T17:40:05.209022-07:00,False,,craigslist,,,,
"Pet Park, 360 View Rooftop Deck, Gated, EV Charging",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-park-360-view-rooftop/7933707583.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T17:20:05.602676-07:00,False,,craigslist,,,,
"Now Showing, EV Charging, Stainless Steel Appliances, Pet Park",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-showing-ev-charging/7933691358.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T16:20:05.592776-07:00,False,,craigslist,,,,
"Bicycle rack, On-Site Laundry, Building surveillance",,4395,3,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bicycle-rack-on-site/7933689430.html,37.7806519435262,-122.404762737112,San Francisco,2026-05-11T16:00:05.113139-07:00,False,,craigslist,,,,
Spacious 2 Bed/1 Bath Top Floor Apt  ~ J.Wavro,,4000,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-bed-bath-top/7933692328.html,37.7827008406015,-122.469772247417,San Francisco,2026-05-11T16:00:05.112342-07:00,False,,craigslist,,,,
Brand New Garden  Apartment - Laundry and Shared backyard ~ J.Wavro,Way Out There,5100,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-garden/7933687077.html,37.7861294200473,-122.476575548276,San Francisco,2026-05-11T15:40:05.563753-07:00,False,,craigslist,29.0,4th & King,23.0,Civic Center
"40th/Wawona 3 bd 1 bath top floor of house, large deck and yard",Way Out There,4750,3,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-40th-wawona-bd-bath-top/7933687445.html,37.7351356033256,-122.497402564128,San Francisco,2026-05-11T15:40:05.563072-07:00,False,,craigslist,37.0,22nd St,23.0,Glen Park
Well maintained 3BD & 2BR for rent,,4198,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-well-maintained-3bd-2br/7933687744.html,37.7089691937812,-122.440020267991,San Francisco,2026-05-11T15:40:05.562266-07:00,False,,craigslist,,,,
