title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
Top Floor Spacious Bright 2BR/1.5BA Laundry On Site Pet Friendly,,5255,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-spacious-bright/7920735609.html,37.7884281267213,-122.440507855075,San Francisco,2026-03-12 16:13:59.108620+00:00,craigslist,,,,
Updated Great View! 2BR/2BA Laundry In Unit Close To GG Park,Way Out There,5245,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-great-view-2br/7920735549.html,37.7636683285638,-122.478201029541,San Francisco,2026-03-12 16:13:59.109191+00:00,craigslist,,,,
No Carpet Anymore! Right At Lafayette Park 2BR/1BA  Pet Friendly,,5195,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-no-carpet-anymore-right/7920735226.html,37.7907606379051,-122.426715042073,San Francisco,2026-03-12 16:13:59.110452+00:00,craigslist,,,,
"Pet Park, Expansive Windows w/ City Views, EV Charging",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-park-expansive/7920729876.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-12 16:13:59.111631+00:00,craigslist,,,,
Pacific Heights/3014 Clay&Baker/Remodeled/Coming Soon!!!,,4695,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pacific-heights-3014/7920718321.html,37.7896336299222,-122.442711450755,San Francisco,2026-03-12 16:13:59.112245+00:00,craigslist,,,,
2 Bed Apartment in San Francisco | 1 Bath | $5400 per month,,5400,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-apartment-in-san/7920709645.html,37.8025521093283,-122.428736437175,San Francisco,2026-03-12 16:13:59.112814+00:00,craigslist,,,,
"1912 Edwardian on Bernal Hill — 3BR With Bay Views Open Kitchen, Deck",Bernal,5480,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1912-edwardian-on-bernal/7920699268.html,37.7418667115025,-122.414420513706,San Francisco,2026-03-12 16:13:59.113961+00:00,craigslist,,,,
"Exceptional 2 BR-Cozy, Pet Friendly & Moments to Urban Adventure",,4388,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-exceptional-br-cozy-pet/7920751755.html,37.7236025358681,-122.43880445155,San Francisco,2026-03-12 17:00:05.025370+00:00,craigslist,,,,
Pet Friendly 2BR with In Unit Washer & Dryer! Unit #106,Way Out There,4545,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-friendly-2br-with-in/7920756582.html,37.7852247196889,-122.479730826854,San Francisco,2026-03-12 17:00:05.026169+00:00,craigslist,,,,
Stunning 2BR w/ WD Near Golden Gate Park! Unit #502,Way Out There,5245,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-2br-wd-near/7920756429.html,37.7745184303296,-122.478965928198,San Francisco,2026-03-12 17:00:05.026780+00:00,craigslist,,,,
"Stainless Steel Appliances, Now Showing, Washer and Dryer",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stainless-steel/7920753060.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-12 17:00:05.027457+00:00,craigslist,,,,
Move in. Feel at Home.,Way Out There,5600,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-feel-at-home/7920750966.html,37.7593006712918,-122.483594281266,San Francisco,2026-03-12 17:00:05.028095+00:00,craigslist,,,,
"SPECTACULAR, TOP FLOOR 2 BED/1 BATH FULLY RENOVATED!!!",,3750,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-top-floor-bed/7915761945.html,37.7393548645288,-122.388712470398,San Francisco,2026-03-12 21:10:04.883522+00:00,craigslist,,,,
2 Bedroom/1 Bath**Laundry**Stainless**Dishwasher**Open Sat/Sun 12-1**,Duboce,4000,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom/7920827683.html,37.7710554734161,-122.438708767598,San Francisco,2026-03-12 21:10:04.884364+00:00,craigslist,16.0,4th & King,,
Remodeled 2 BR x 1 Bath with Laundry in unit,NOPA/Inner Richmond,4195,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-br-1-bath-with/7920824694.html,37.7743373756664,-122.46380260015,San Francisco,2026-03-12 21:10:04.885066+00:00,craigslist,25.0,4th & King,,
######3 INNER RICHMOND- APARTMENT FOR LEASE-2ND AVE & GEARY,,3300,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-inner-richmond-apartment/7920821548.html,37.7808158094556,-122.459841169955,San Francisco,2026-03-12 21:10:04.885701+00:00,craigslist,,,,
"Indoor bike storage, Microwave, Stainless steel appliances",,3858,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-indoor-bike-storage/7920820820.html,37.7816185233265,-122.412125817737,San Francisco,2026-03-12 21:10:04.886285+00:00,craigslist,,,,
"EV Charging, Pet Park, SoMa Life, Stainless Steel Appliances",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ev-charging-pet-park-soma/7920819405.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-12 21:10:04.886873+00:00,craigslist,,,,
2BR with In Unit W/D Near Presidio! Unit 503,,5245,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-with-in-unit-d-near/7920817151.html,37.7970001482938,-122.447082545774,San Francisco,2026-03-12 21:10:04.887528+00:00,craigslist,,,,
Top-Floor 1BR with Dishwasher in Prime Pacific Heights / Japantown,,4995,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-1br-with/7920834987.html,37.7864370983833,-122.431591485868,San Francisco,2026-03-12 21:30:04.860200+00:00,craigslist,,,,
Ground Floor Two Bedroom | Freshly Painted | Water & Garbage Included,Bernal,4250,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ground-floor-two-bedroom/7920836852.html,37.7354358332103,-122.426564354173,San Francisco,2026-03-12 21:50:04.656955+00:00,craigslist,17.0,22nd St,,
3 BDRM apartment home available at Baker Beach in the Presidio!,,4800,3,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bdrm-apartment-home/7920845907.html,37.7918773326478,-122.478173527567,San Francisco,2026-03-12 22:10:05.271607+00:00,craigslist,,,,
Available now! Split apartment home at Baker Beach!,,5100,3,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-available-now-split/7920845827.html,37.7916143450198,-122.477979294874,San Francisco,2026-03-12 22:10:05.272365+00:00,craigslist,,,,
