source,title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station,commute_minutes,commute_walk_minutes,commute_headway,transit_score,transit_lines,removed_at
craigslist,Classic San Francisco 1BR/1BA in Russian hill,,1800,1,1.0,https://www.craigslist.org/view/d/san-francisco-classic-san-francisco-1br/f1KeoA6kfA6Sjb1BHgdX9f,37.8016645977037,-122.411115120186,San Francisco,2026-08-09T07:40:06.093270-07:00,False,,,,,,,,,,2026-08-09T10:21:22.658446-07:00
craigslist,Furnished Condo at Opera Plaz..1BR,,1890,1,1.0,https://www.craigslist.org/view/d/san-francisco-furnished-condo-at-opera/vYHXqR9k7Mndhxndt6N1F8,37.7813005317502,-122.416702031646,San Francisco,2026-08-08T13:40:06.181617-07:00,False,,,,,,,,,,2026-08-09T10:21:22.658446-07:00
craigslist,OPEN SUN 1:10pm-1:40pm 4th Floor 2-1BR/1BA (660 Bush Street #406),,3975,1,1.0,https://www.craigslist.org/view/d/san-francisco-open-sun-110pm-140pm-4th/729xvVxfQHUSGAN2mysnE1,37.7902277871557,-122.408250331211,San Francisco,2026-08-07T17:20:06.284095-07:00,False,,,,,,,,,,2026-08-09T10:31:17.975586-07:00
craigslist,4th Floor 2-1BR/1BA (660 Bush Street #406),,3975,1,1.0,https://www.craigslist.org/view/d/san-francisco-4th-floor-1br-1ba-660/729xvVxfQHUSGAN2mysnE1,37.7902277871557,-122.408250331211,San Francisco,2026-08-07T10:00:06.343598-07:00,False,,,,,,,,,,2026-08-09T10:31:17.975586-07:00
craigslist,"2-1BR, Shared laundry (797 Bush Street #405)",,4100,1,1.0,https://www.craigslist.org/view/d/san-francisco-1br-shared-laundry-797/4xBQwb1VJAEv55nFryJNBx,37.7928983434387,-122.407906556534,San Francisco,2026-08-07T10:00:06.342878-07:00,False,,,,,,,,,,2026-08-09T10:31:17.975586-07:00
craigslist,Beautiful NOPA Junior 1BR with New Kitchen & Bathroom,"Haight/Cole Valley,Panhandle",1180,1,1.0,https://www.craigslist.org/view/d/san-francisco-beautiful-nopa-junior-1br/rnNo8HzXZvgnJoshNP272F,37.7711987128648,-122.441309995988,San Francisco,2026-08-09T10:00:06.058325-07:00,False,,,,,21.0,4.0,,82.0,"24, 49, 5, 5R, 6, 7",2026-08-09T10:41:20.963342-07:00
craigslist,Stylish 1-Bedroom Gem in Prime San Francisco Location,Inner Richmond,1250,1,1.0,https://www.craigslist.org/view/d/san-francisco-stylish-bedroom-gem-in/9GpAqDcnPNtr42riNYR2BN,37.7775648469262,-122.433231291077,San Francisco,2026-08-09T10:00:06.055979-07:00,False,,,,,11.0,6.0,,76.0,"31, 5, 5R",2026-08-09T10:41:20.963342-07:00
craigslist,1 bed 1 bath,,2800,1,1.0,https://www.craigslist.org/view/d/san-francisco-bed-bath/hmWQjgSJQaKMjpvbrqcuwo,37.799899314737,-122.434205319329,San Francisco,2026-08-09T09:40:06.738201-07:00,False,,,,,,,,,,2026-08-09T10:41:20.963342-07:00
craigslist,"Beautiful 2-bedroom, 2-bathroom home located at 39 Avila St in",,2200,2,2.0,https://www.craigslist.org/view/d/san-francisco-beautiful-bedroom/8Zr6MMRdS91npzxT9363Sm,37.8006814021273,-122.440393263516,San Francisco,2026-08-09T02:40:06.980683-07:00,False,,,,,,,,,,2026-08-09T10:41:20.963342-07:00
craigslist,"OPEN SUN 12:25pm-1:00pm 2-1BR, Shared laundry (797 Bush Street #405)",,4100,1,1.0,https://www.craigslist.org/view/d/san-francisco-open-sun-1225pm-100pm-1br/4xBQwb1VJAEv55nFryJNBx,37.7928983434387,-122.407906556534,San Francisco,2026-08-07T17:00:06.769872-07:00,False,,,,,,,,,,2026-08-09T10:41:20.963342-07:00
craigslist,TMLP 15-mo. | Center Stage Living: Close to Performing Arts and Financial Distri,,3267,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-15-mo-center-stage/vduSr7E2KSJfsdB2MzvuFv,37.7916997157313,-122.418600813779,San Francisco,2026-08-07T09:40:06.789023-07:00,False,,,,,,,,,,2026-08-09T10:41:20.963342-07:00
craigslist,TMLP 12-mo. | Work and Play at Home: Tech Lounge & Fitness Center,,3881,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-work-and-play/igtGwsyZVtdm8WAKeVLShp,37.7791152707197,-122.41424289679,San Francisco,2026-08-07T09:40:06.787558-07:00,False,,,,,,,,,,2026-08-09T10:41:20.963342-07:00
