source,title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station,commute_minutes,commute_walk_minutes,commute_headway,transit_score,transit_lines
craigslist,TMLP 12-mo. | Discover Artful Living in Our Towering Oasis,,3636,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-discover/hXfkQRCj9A3TGYsSPbiqe2,37.7791152707197,-122.41424289679,San Francisco,2026-08-05T10:30:06.092048-07:00,False,,,,,,,,,
craigslist,TMLP 12-mo. | Love this building! Love this location! Available Now!,,3086,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-love-this/sNZqSQF34cMzphKBKkg7hF,37.7775814627022,-122.41300588091,San Francisco,2026-08-05T10:30:06.091300-07:00,False,,,,,,,,,
craigslist,TMLP 12-mo. | Urban Living at Its Best: On-Site Fitness Center,,4399,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-urban-living/orFFVN1b2pLJtfyjXDCsE5,37.778401365307,-122.414338580742,San Francisco,2026-08-05T10:30:06.090454-07:00,False,,,,,,,,,
craigslist,Stunning 1BR – Steps to Golden Gate Park! Unit #1081C,Haight/Cole Valley,4475,1,1.0,https://www.craigslist.org/view/d/san-francisco-stunning-1br-steps-to/h6HCPhnZftc65uVKnpWHJS,37.7631257375319,-122.446795493918,San Francisco,2026-08-05T10:10:06.863786-07:00,False,,,,,29.0,10.0,,71.0,"33, 37, 43, 49, 5R, 6, K, M, N"
craigslist,TMLP 12-mo. | Tranquil Luxury: Controlled Access and Garage Parking,,3486,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-tranquil/hD9xSLDYs5XhAdvHTffZu3,37.7775545336859,-122.413027080349,San Francisco,2026-08-05T09:50:06.235129-07:00,False,,,,,,,,,
craigslist,"1 Bed, 1 Bath with Loft - IN SOMA",,3980,1,1.0,https://www.craigslist.org/view/d/san-francisco-bed-bath-with-loft-in-soma/sYdo2DFsjXF1rFxUSYxnED,37.7724999000175,-122.414693814574,San Francisco,2026-08-05T09:50:06.234417-07:00,False,,,,,,,,,
craigslist,TMLP 12-mo. | Meticulous Attention to Details Permeating Every Facet.,,3168,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-meticulous/2WV2t3PqspSdTbn2ARLQwk,37.7775814627022,-122.41300588091,San Francisco,2026-08-05T09:50:06.233687-07:00,False,,,,,,,,,
craigslist,TMLP 12-mo. | Luxury high-rise with top tier amenities and handcrafted apartment,,3836,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-luxury-high/hyYP1i2BaoNy8J8qW6FNJU,37.7791152707197,-122.41424289679,San Francisco,2026-08-05T09:30:06.640815-07:00,False,,,,,,,,,
craigslist,Bright Downtown 1BR | In-Unit W/D | Unit #201,,4518,1,1.0,https://www.craigslist.org/view/d/san-francisco-bright-downtown-1br-in/rQqds4UA3CphfhYzVtFGmo,37.7888068518238,-122.411880018843,San Francisco,2026-08-05T09:30:06.640079-07:00,False,,,,,,,,,
craigslist,"TMLP 15-mo. | Location, Community, Quality Living. It Starts Here!",,3267,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-15-mo-location/sHXh4zW4wjqf8K3jKrGb88,37.7916997157313,-122.418600813779,San Francisco,2026-08-05T09:30:06.639336-07:00,False,,,,,,,,,
craigslist,City Living Made Easy — 1BR + Washer/Dryer! Unit #44,,2980,1,1.0,https://www.craigslist.org/view/d/san-francisco-city-living-made-easy-1br/xcixfhd9xCE8vMfZvcLNXA,37.7916997157313,-122.418600813779,San Francisco,2026-08-05T09:30:06.638621-07:00,False,,,,,,,,,
craigslist,"Sunny solarium, Sky Terrace, Grilling stations with dining areas",,3698,1,1.0,https://www.craigslist.org/view/d/san-francisco-sunny-solarium-sky/bh4QHHJP95vPAauqkm6Vzb,37.7816185233265,-122.412125817737,San Francisco,2026-08-05T09:30:06.637879-07:00,False,,,,,,,,,
craigslist,2 bed Furnished - BART Station + Union Sq,,3290,2,1.0,https://www.craigslist.org/view/d/san-francisco-bed-furnished-bart/2bDSvkVEhY96BjCoHVBo5K,37.7928983434387,-122.407906556534,San Francisco,2026-08-05T09:30:06.636981-07:00,False,,,,,22.0,4.0,,82.0,"1, 101, 2, 49, Blue-S, M"
craigslist,"5,000 / 900ft² – Modern Live/Work 1 bed/1bath in SoMa",,4500,1,1.0,https://www.craigslist.org/view/d/san-francisco-ft-modern-live-work-bed/b9V38j2EuGr7kUHNBoUqrn,37.7754643836493,-122.409434634973,San Francisco,2026-08-05T09:10:06.279499-07:00,False,,,,,,,,,
craigslist,"2-Bed Furnished *COZY CENTRAL* Wifi, Laund, Yard. SEPT 1+ (4/8/12mth+)",Mission,4280,2,1.0,https://www.craigslist.org/view/d/san-francisco-bed-furnished-cozy/xwgSsTjW5Bu8T6Y6V1Qa4P,37.7636001465862,-122.421496542476,San Francisco,2026-08-05T09:10:06.095353-07:00,False,,,,,16.0,7.0,,70.0,"49, Yellow-N"
craigslist,"360 View Rooftop Deck, SoMa Life, Pets Welcome",,4436,1,1.0,https://www.craigslist.org/view/d/san-francisco-360-view-rooftop-deck/8cUxji1XtvsaDmtd9hHZm3,37.7752730157458,-122.415909631016,San Francisco,2026-08-05T08:10:06.809773-07:00,False,,,,,,,,,
craigslist,Timeless 1BR Living Near Japantown & Polk St! Unit #206,Inner Richmond,4395,1,1.0,https://www.craigslist.org/view/d/san-francisco-timeless-1br-living-near/1N2U9xnM5rkLgyo9Nw83Mb,37.7876322883439,-122.425143991799,San Francisco,2026-08-05T07:50:06.664125-07:00,False,,,,,10.0,7.0,,76.0,"101, 38, 49"
craigslist,Spacious 1BR – Hardwood Floors & Pet Friendly! Unit #4,Way Out There,3980,1,1.0,https://www.craigslist.org/view/d/san-francisco-spacious-1br-hardwood/kuZPfALZqh5zL4rKVU8UPV,37.7536381294028,-122.466657648843,San Francisco,2026-08-05T07:50:06.663177-07:00,False,,,,,,,,,
craigslist,"1 Bedroom Charm, Sunlit Balcony Views and Short Walks to Hotspots!",,2995,1,1.0,https://www.craigslist.org/view/d/san-francisco-bedroom-charm-sunlit/acbMRJvWU7EKa7bRfQzA2X,37.7826870896144,-122.414885182478,San Francisco,2026-08-05T04:50:05.970781-07:00,False,,,,,,,,,
craigslist,Outer Sunset private in law Unit - 1 Spacious Bed/1 Bath,Way Out There,2700,1,1.0,https://www.craigslist.org/view/d/san-francisco-outer-sunset-private-in/n9uC3YJjujX7iMoRQ2bfMA,37.7441001009878,-122.486301506848,San Francisco,2026-08-04T22:50:06.941533-07:00,False,,,,,,,,,
craigslist,1520 Gough #206 - Beautiful 1x1 - Private - Updated - Pets Welcomed,Inner Richmond,4395,1,1.0,https://www.craigslist.org/view/d/san-francisco-1520-gough-beautiful-1x1/vujAWcHNcs74tS5ihrRPxq,37.7876322883439,-122.425143991799,San Francisco,2026-08-04T21:10:06.215249-07:00,False,,,,,10.0,7.0,,76.0,"101, 38, 49"
craigslist,"1BR with Bay Views, Doorman & Garage Parking | Nob Hill",,3500,1,1.0,https://www.craigslist.org/view/d/san-francisco-1br-with-bay-views/bSfiFMdb3b3rqoTY9XunmT,37.7928949056919,-122.414406762719,San Francisco,2026-08-04T19:10:06.086619-07:00,False,,,,,,,,,
craigslist,"Now Touring, Bike Stor, Great MidMar SOMA location, 360 Rooftop Views!",,4391,1,1.0,https://www.craigslist.org/view/d/san-francisco-now-touring-bike-stor/rVFJx4ehYpmbuzRVMfxpHU,37.7752730157458,-122.415909631016,San Francisco,2026-08-04T18:50:06.628788-07:00,False,,,,,,,,,
craigslist,Huge Bedroom in 1Bed/1Ba!! Central Nob Hill Location!! Big Closets!,,4350,1,1.0,https://www.craigslist.org/view/d/san-francisco-huge-bedroom-in-1bed-1ba/dfkh3N7kUJND9ttQiXRkv1,37.7925156076315,-122.420007425166,San Francisco,2026-08-04T18:50:06.625809-07:00,False,,,,,,,,,
craigslist,"Renovated, Furnished, Quiet Apartment • 10 Minutes to UCSF",,3200,1,1.0,https://www.craigslist.org/view/d/san-francisco-renovated-furnished-quiet/k6No55TVPJkNNDcz4qJASF,37.7353985909536,-122.457095556201,San Francisco,2026-08-04T18:30:06.487715-07:00,False,,,,,,,,,
craigslist,"EV Charging, Now Showing, Roof View Fire Pits, Grills, Bicycle Parking",,4597,1,1.0,https://www.craigslist.org/view/d/san-francisco-ev-charging-now-showing/tZiGHfzD3y5H2uaKSVGCDS,37.7752730157458,-122.415909631016,San Francisco,2026-08-04T17:30:06.138784-07:00,False,,,,,,,,,
craigslist,TMLP 12-mo. | SOMA one-bedroom apartment near Hayes Valley,,4399,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-soma-one/wAh8hzDutmbbHKZ7hU7wS5,37.778401365307,-122.414338580742,San Francisco,2026-08-04T17:30:06.136407-07:00,False,,,,,,,,,
craigslist,"Quiet, Remodeled Garden Apartment - Fantastic Location",,3295,1,1.0,https://www.craigslist.org/view/d/san-francisco-quiet-remodeled-garden/bT9GPDUEAqbvgkixCBM5fj,37.7903440975881,-122.407333598739,San Francisco,2026-08-04T16:50:06.841169-07:00,False,,,,,,,,,
craigslist,Fully Furnished 1 Bedroom In Law Unit Near USCF,,3500,1,1.0,https://www.craigslist.org/view/d/san-francisco-fully-furnished-bedroom/cGrasMEqAVxwRCFg3rCvVa,37.7450013635995,-122.438299102775,San Francisco,2026-08-04T16:30:06.729394-07:00,False,,,,,,,,,
craigslist,"Newer in SOMA- in unit laundry, roof deck, PKG avail!",,4150,1,1.0,https://www.craigslist.org/view/d/san-francisco-newer-in-soma-in-unit/bY7sn5xkytY5XDfjuiiYw7,37.7710394305978,-122.408218818532,San Francisco,2026-08-04T15:50:06.134053-07:00,False,,,,,,,,,
craigslist,1520 Gough Street - 206,Inner Richmond,4395,1,1.0,https://www.craigslist.org/view/d/san-francisco-1520-gough-street-206/ttMD6QgoWuRh2H6PuQUzQJ,37.7876322883439,-122.425143991799,San Francisco,2026-08-04T15:30:06.297915-07:00,False,,,,,10.0,7.0,,76.0,"101, 38, 49"
craigslist,1077 Ashbury Street Owner LP - 1081C,Haight/Cole Valley,4475,1,1.0,https://www.craigslist.org/view/d/san-francisco-1077-ashbury-street-owner/9kFRaQq2GaNLd3xYC18E1z,37.7631257375319,-122.446795493918,San Francisco,2026-08-04T15:10:06.097378-07:00,False,,,,,29.0,10.0,,71.0,"33, 37, 43, 49, 5R, 6, K, M, N"
craigslist,346 Leavenworth Street - 505,,2295,1,1.0,https://www.craigslist.org/view/d/san-francisco-346-leavenworth-street-505/99FntW1wkPqLMhNuC8Ucz1,37.7841624559368,-122.414323683839,San Francisco,2026-08-04T14:50:06.660679-07:00,False,,,,,,,,,
craigslist,Charming One Bedroom Steps from Dolores Park | Shared Laundry,Mission,4250,1,1.0,https://www.craigslist.org/view/d/san-francisco-charming-one-bedroom/6i4xeeQTALdUv1PfYVRdk7,37.7616606844498,-122.422275192119,San Francisco,2026-08-04T14:50:06.659181-07:00,False,,,,,16.0,6.0,,70.0,"49, Yellow-N"
craigslist,755 O'Farrell Street - 44,,2980,1,1.0,https://www.craigslist.org/view/d/san-francisco-755-ofarrell-street-44/sNLaLbQpWYgBfWjT8NeEu4,37.7916997157313,-122.418600813779,San Francisco,2026-08-04T14:50:06.658268-07:00,False,,,,,,,,,
craigslist,Honestly Sad to Leave This Place – Hope You’ll Love It Too!,,1520,1,1.0,https://www.craigslist.org/view/d/san-francisco-honestly-sad-to-leave/phekeXVCabMfCoyxrS1NwH,37.7879359559753,-122.418696497731,San Francisco,2026-08-04T14:30:06.138549-07:00,False,,,,,,,,,
craigslist,1520 Gough Street - 206,Inner Richmond,4395,1,1.0,https://www.craigslist.org/view/d/san-francisco-1520-gough-street-206/nUAiw3bf1W7tZwxjUaThrY,37.7876322883439,-122.425143991799,San Francisco,2026-08-04T14:30:06.137825-07:00,False,,,,,10.0,7.0,,76.0,"101, 38, 49"
craigslist,1br/In-Unit Washer/Dryer /Easy Commute w/Cable Car Just Outside!,,3995,1,1.0,https://www.craigslist.org/view/d/san-francisco-1br-in-unit-washer-dryer/3jgfaNLR2JqH1NXgWpTb6F,37.7908356953763,-122.408929286198,San Francisco,2026-08-04T14:30:06.137024-07:00,False,,,,,,,,,
craigslist,1077 Ashbury Street Owner LP - 1081C,Haight/Cole Valley,4475,1,1.0,https://www.craigslist.org/view/d/san-francisco-1077-ashbury-street-owner/ooDvHaPwTZxfLauCAfnm4K,37.7631257375319,-122.446795493918,San Francisco,2026-08-04T14:10:05.953037-07:00,False,,,,,29.0,10.0,,71.0,"33, 37, 43, 49, 5R, 6, K, M, N"
craigslist,"Bicycle Parking, Pet Park, Stainless Steel Appliances, Pets Welcome",,4391,1,1.0,https://www.craigslist.org/view/d/san-francisco-bicycle-parking-pet-park/hUh2QRiN1VotzGabDMFkS9,37.7752730157458,-122.415909631016,San Francisco,2026-08-04T13:30:06.467133-07:00,False,,,,,,,,,
craigslist,"Great City Views, Mid-Century Mod, Big Windows, Bamboo Flrs, W/D",Inner Richmond,4300,1,1.0,https://www.craigslist.org/view/d/san-francisco-great-city-views-mid/iahHCaS64aSTTPPDnPPbcV,37.7881582635998,-122.432001723649,San Francisco,2026-08-04T13:10:06.532210-07:00,False,,,,,20.0,15.0,,82.0,"1, 101, 22, 31, 38, 38R, 5"
craigslist,The cutest naturally lit furnished apartment in the Richmond,Inner Richmond,3100,1,1.0,https://www.craigslist.org/view/d/san-francisco-the-cutest-naturally-lit/rt3kBHouySHT4nXcMm4NLC,37.7828784575179,-122.467641417377,San Francisco,2026-08-04T12:50:06.647711-07:00,True,,,,,31.0,15.0,,67.0,"1, 101, 31, 38, 38R, 44, 5R"
